20241016-16:10:58 - ---------------------------------------------------------------------------
20241016-16:11:00 - 取得公藥消耗帳,(2024/07/18 16:10:56-2024/10/16 16:10:56)共<3196>筆
20241016-16:11:01 - 取得急診消耗帳,(2024/07/18 16:10:56-2024/10/16 16:10:56)共<11775>筆
20241016-16:11:03 - 取得住院消耗帳,(2024/07/18 16:10:56-2024/10/16 16:10:56)共<48524>筆
20241016-16:11:03 - 取得門診消耗帳,(2024/07/18 16:10:56-2024/10/16 16:10:56)共<56887>筆
20241016-16:11:05 - (2024/07/18 16:10:56-2024/10/16 16:10:56)共有<120382>筆消耗帳,<1725>種藥品
20241016-16:11:05 - 藥碼 : D2126 ,找無售價資料
20241016-16:11:05 - 藥碼 : D1006 ,找無售價資料
20241016-16:11:05 - 藥碼 : D1083 ,找無售價資料
20241016-16:11:05 - 藥碼 : D2033 ,找無售價資料
20241016-16:11:05 - 藥碼 : D2144 ,找無售價資料
20241016-16:11:05 - 藥碼 : D2007 ,找無售價資料
20241016-16:11:05 - 藥碼 : D2066 ,找無售價資料
20241016-16:11:05 - 藥碼 : D1084 ,找無售價資料
20241016-16:11:05 - 藥碼 : D1247 ,找無售價資料
20241016-16:11:05 - 藥碼 : G1010 ,找無售價資料
20241016-16:11:05 - 藥碼 : D1110 ,找無售價資料
20241016-16:11:05 - 藥碼 : G2007 ,找無售價資料
20241016-16:11:05 - 藥碼 : D1050 ,找無售價資料
20241016-16:11:05 - 藥碼 : D1176 ,找無售價資料
20241016-16:11:05 - 藥碼 : D1054 ,找無售價資料
20241016-16:11:05 - 藥碼 : D2138 ,找無售價資料
20241016-16:11:05 - 藥碼 : D1093 ,找無售價資料
20241016-16:11:05 - 藥碼 : D1140 ,找無售價資料
20241016-16:11:05 - 藥碼 : D2076 ,找無售價資料
20241016-16:11:05 - 藥碼 : D2200 ,找無售價資料
20241016-16:11:05 - 藥碼 : D1154 ,找無售價資料
20241016-16:11:05 - 藥碼 : G1030 ,找無售價資料
20241016-16:11:05 - 藥碼 : D2189 ,找無售價資料
20241016-16:11:05 - 藥碼 : F2008 ,找無售價資料
20241016-16:11:05 - 藥碼 : D1195 ,找無售價資料
20241016-16:11:05 - 藥碼 : D1041 ,找無售價資料
20241016-16:11:05 - 藥碼 : D2195 ,找無售價資料
20241016-16:11:05 - 藥碼 : D1217 ,找無售價資料
20241016-16:11:05 - 藥碼 : D2074 ,找無售價資料
20241016-16:11:06 - 藥碼 : D2068 ,找無售價資料
