20240816-08:11:02 - ---------------------------------------------------------------------------
20240816-08:11:04 - 取得急診消耗帳,(2024/05/18 08:11:01-2024/08/16 08:11:01)共<11960>筆
20240816-08:11:06 - 取得住院消耗帳,(2024/05/18 08:11:01-2024/08/16 08:11:01)共<47769>筆
20240816-08:11:07 - 取得門診消耗帳,(2024/05/18 08:11:01-2024/08/16 08:11:01)共<58721>筆
20240816-08:11:08 - (2024/05/18 08:11:01-2024/08/16 08:11:01)共有<118450>筆消耗帳,<1586>種藥品
20240816-08:11:08 - 藥碼 : D1008 ,找無售價資料
20240816-08:11:08 - 藥碼 : F2008 ,找無售價資料
20240816-08:11:08 - 藥碼 : D2124 ,找無售價資料
20240816-08:11:08 - 藥碼 : D1140 ,找無售價資料
20240816-08:11:08 - 藥碼 : D1087 ,找無售價資料
20240816-08:11:08 - 藥碼 : D2184 ,找無售價資料
20240816-08:11:08 - 藥碼 : G2003 ,找無售價資料
20240816-08:11:08 - 藥碼 : D2033 ,找無售價資料
20240816-08:11:08 - 藥碼 : D2144 ,找無售價資料
20240816-08:11:08 - 藥碼 : G2004 ,找無售價資料
20240816-08:11:08 - 藥碼 : D2007 ,找無售價資料
20240816-08:11:08 - 藥碼 : D2105 ,找無售價資料
20240816-08:11:08 - 藥碼 : D2066 ,找無售價資料
20240816-08:11:08 - 藥碼 : D2113 ,找無售價資料
20240816-08:11:08 - 藥碼 : D2158 ,找無售價資料
20240816-08:11:08 - 藥碼 : D1195 ,找無售價資料
20240816-08:11:08 - 藥碼 : D1244 ,找無售價資料
20240816-08:11:08 - 藥碼 : D1003 ,找無售價資料
20240816-08:11:08 - 藥碼 : D1110 ,找無售價資料
20240816-08:11:08 - 藥碼 : G1010 ,找無售價資料
20240816-08:11:08 - 藥碼 : D2200 ,找無售價資料
20240816-08:11:08 - 藥碼 : D1171 ,找無售價資料
20240816-08:11:08 - 藥碼 : D2175 ,找無售價資料
20240816-08:11:08 - 藥碼 : D1093 ,找無售價資料
20240816-08:11:08 - 藥碼 : D2037 ,找無售價資料
20240816-08:11:08 - 藥碼 : D2135 ,找無售價資料
20240816-08:11:08 - 藥碼 : D2143 ,找無售價資料
20240816-08:11:08 - 藥碼 : D2065 ,找無售價資料
20240816-08:11:08 - 藥碼 : D1240 ,找無售價資料
20240816-08:11:08 - 藥碼 : D2189 ,找無售價資料
20240816-08:11:08 - 藥碼 : D2138 ,找無售價資料
20240816-08:11:08 - 藥碼 : D2153 ,找無售價資料
20240816-08:11:08 - 藥碼 : D1095 ,找無售價資料
20240816-08:11:09 - 藥碼 : D2029 ,找無售價資料
20240816-08:11:09 - 藥碼 : D1176 ,找無售價資料
20240816-08:11:09 - 藥碼 : D2076 ,找無售價資料
20240816-08:11:09 - 藥碼 : D1118 ,找無售價資料
20240816-08:11:09 - 藥碼 : D2126 ,找無售價資料
20240816-08:11:09 - 藥碼 : D1041 ,找無售價資料
20240816-08:11:09 - 藥碼 : F2006 ,找無售價資料
20240816-08:11:09 - 藥碼 : D2108 ,找無售價資料
20240816-08:11:09 - 藥碼 : D2068 ,找無售價資料
20240816-08:11:09 - 藥碼 : D2195 ,找無售價資料
20240816-08:11:09 - 藥碼 : D1248 ,找無售價資料
